aX,aY,aZ,gX,gY,gZ
1.396,-0.877,0.140,72.205,-80.200,-19.775
1.388,-1.016,0.146,57.312,-94.482,-12.268
1.355,-1.125,0.162,38.513,-110.413,-5.859
1.299,-1.178,0.173,21.179,-127.747,-1.099
1.217,-1.197,0.140,9.460,-145.386,-0.793
1.099,-1.244,0.133,2.625,-164.246,-10.010
0.936,-1.339,0.118,-0.793,-184.387,-26.428
0.738,-1.466,0.071,-4.272,-201.599,-41.382
0.554,-1.597,0.012,-13.611,-213.013,-50.171
0.361,-1.693,-0.085,-30.701,-219.604,-52.917
0.130,-1.709,-0.241,-53.650,-221.741,-49.255
-0.154,-1.645,-0.409,-81.116,-221.191,-38.635
-0.499,-1.517,-0.570,-108.826,-216.980,-24.414
-0.866,-1.332,-0.755,-129.395,-208.008,-11.353
-1.228,-1.146,-0.971,-143.188,-194.214,-1.770
-1.572,-0.962,-1.189,-154.175,-178.528,6.409
-1.873,-0.745,-1.373,-167.969,-162.781,17.761
-2.144,-0.494,-1.496,-183.899,-148.315,31.738
-2.349,-0.192,-1.529,-202.026,-135.193,40.833
-2.497,0.159,-1.483,-220.215,-117.188,42.236
-2.516,0.503,-1.411,-233.826,-91.553,38.269
-2.439,0.797,-1.353,-239.014,-63.416,30.334
-2.301,1.063,-1.337,-236.694,-39.734,23.376
-2.160,1.351,-1.331,-231.079,-21.057,20.142
-2.037,1.645,-1.327,-222.961,-5.371,15.503
-1.910,1.898,-1.317,-212.891,8.850,6.958
-1.759,2.096,-1.310,-201.660,22.278,-0.366
-1.613,2.235,-1.309,-189.392,33.752,-2.869
-1.451,2.310,-1.310,-178.223,43.213,-2.808
-1.316,2.354,-1.317,-167.664,51.453,-1.038
-1.237,2.381,-1.309,-157.166,57.251,3.723
-1.182,2.361,-1.312,-143.372,62.988,9.827
-1.100,2.321,-1.311,-128.662,70.496,14.893
-0.990,2.271,-1.312,-114.075,79.651,16.174
-0.886,2.191,-1.317,-98.206,88.318,11.719
-0.769,2.101,-1.316,-83.191,93.384,3.174
-0.642,2.019,-1.294,-69.946,95.703,-5.554
-0.509,1.962,-1.250,-58.838,97.107,-13.611
-0.355,1.937,-1.234,-46.082,98.511,-19.348
-0.201,1.926,-1.271,-31.799,99.426,-22.461
-0.081,1.917,-1.268,-20.630,96.130,-23.499
-0.003,1.910,-1.236,-9.216,89.355,-22.156
0.061,1.844,-1.220,3.540,83.801,-19.531
0.113,1.751,-1.192,13.489,81.421,-19.104
0.149,1.653,-1.158,20.569,77.881,-17.639
0.150,1.553,-1.134,26.917,75.073,-14.832
0.142,1.455,-1.124,32.471,72.815,-10.925
0.147,1.379,-1.133,39.063,71.228,-6.531
0.135,1.318,-1.124,46.631,68.726,-4.089
0.114,1.228,-1.107,55.664,64.636,-5.188
0.094,1.125,-1.095,64.148,61.279,-8.972
0.074,1.021,-1.068,69.580,57.800,-13.367
0.050,0.930,-1.016,71.899,54.382,-16.846
0.026,0.859,-0.968,73.975,52.307,-18.433
0.016,0.812,-0.929,76.233,51.880,-18.127
0.011,0.774,-0.903,78.735,51.514,-16.846
0.006,0.752,-0.868,79.895,49.744,-15.381
0.003,0.761,-0.822,80.566,46.814,-15.259
0.004,0.765,-0.788,84.534,43.030,-17.639
-0.004,0.733,-0.764,90.881,39.490,-21.973
-0.013,0.673,-0.729,94.482,35.156,-26.978
-0.008,0.604,-0.690,94.299,31.738,-30.518
-0.002,0.545,-0.640,90.576,29.114,-30.762
-0.010,0.500,-0.582,84.412,26.917,-28.625
-0.020,0.474,-0.530,78.003,25.574,-26.123
-0.037,0.458,-0.493,74.036,25.513,-23.376
-0.049,0.432,-0.470,72.571,25.879,-21.240
